CUNumber,CUName,City,State,URL
9219,TRAILNORTH,Ticonderoga,NY,http://www.trailnorth.com
9229,NEIGHBORS,BATON ROUGE,LA,http://www.neighborsfcu.org
9230,CERTIFIED,El Monte,CA,http://www.certifiedfed.com
9237,RUTGERS,New Brunswick,NJ,http://www.rutgersfcu.org
9246,PASADENA MUNICIPAL,Pasadena,TX,
9247,PIONEER,MOUNTAIN HOME,ID,http://www.pioneerfcu.org
9248,UNITED MEMBERS,TULSA,OK,http://www.unitedmembersfcu.com
9260,L & N,Louisville,KY,http://www.lnfcu.com
9287,MIAMI,MIAMI,FL,http://www.miamifcu.org
9288,PORTLAND LOCAL NO 8,Portland,OR,http://www.pdx8fcu.com
9289,LOWER COLUMBIA LONGSHOREMEN,LONGVIEW,WA,http://www.lclfcu.org
9292,CONSOLIDATED,PORTLAND,OR,https://www.consolidatedccu.com
9293,YOLO,Woodland,CA,http://www.yolofcu.org
9296,SUN COMMUNITY,El Centro,CA,https://www.suncommunity.com
9300,BOSSIER,BOSSIER CITY,LA,http://www.bossierfcu.org
9310,DELTA REFINING CO EMP,Memphis,TN,
9327,CASCO,Gorham,ME,http://www.cascofcu.com
9335,OU,NORMAN,OK,https://www.oufcu.com
9348,KATAHDIN,Millinocket,ME,http://www.katahdinfcu.org
9349,OTIS,Jay,ME,http://www.otisfcu.coop
9358,NEW YORK TIMES EMPLOYEES,NEW YORK,NY,http://www.nytimescu.org
9370,EVERYONE'S,Tucumcari,NM,http://everyonesfcu.com
9373,"AMERICA'S CREDIT UNION, A",Dupont,WA,http://www.youracu.org
9376,SOUTH COAST ILWU,NORTH BEND,OR,http://southcoastilwufcu.com
9381,GATHER,Lihue,HI,http://www.gatherfcu.org
9398,LU 354 I B E W,SALT LAKE CITY,UT,http://www.ibewfcu.org
9408,SAVANNAH SCHOOLS,SAVANNAH,GA,http://www.ssfcuonline.org
9411,HAMILTON HORIZONS,Hamilton,NJ,http://www.hamiltonhorizons.org
9413,MERCER COUNTY W VA TEACHERS,Bluefield,WV,http://www.mctfcu.virtualcu.net
9441,METRO NORTH,JACKSONVILLE,FL,http://www.metronorthfcu.com
9457,E M O T,Abilene,TX,
9469,MARISOL,Phoenix,AZ,https://www.marisolcu.org
9475,APL,Laurel,MD,http://www.aplfcu.org
9476,WEST PENN P&P,BEAVER,PA,http://WWW.WESTPPFCU.COM
9479,VA PITTSBURGH EMPLOYEES,Pittsburgh,PA,http://www.vapghefcu.org
9483,IBEW & UNITED WORKERS,PORTLAND,OR,http://www.ibewuwfcu.com
9486,NEXT STEP,Troy,NY,http://www.nextstepfcu.org
9496,SP TRAINMEN,Houston,TX,
9497,SHAWNEE TVA EMPLOYEES,WEST PADUCAH,KY,
9500,CUMBERLAND COUNTY,Falmouth,ME,http://www.myccfcu.com
9501,GUERNSEY COMMUNITY,GUERNSEY,WY,
9517,CHEN-DEL-O,FRANKLIN,NY,HTTP://WWW.CHENDELO.ORG
9518,EASTMILL,EAST MILLINOCKE,ME,http://www.eastmillfcu.org
9522,MIDWEST COMMUNITY,Defiance,OH,http://www.midwestcommunity.org
9527,F A B CHURCH,Savannah,GA,https://www.fabfcu.com
9532,WESTCHESTER SCHOOLS',Rye Brook,NY,https://www.portchesterteachersfcu.
9537,GREATER NIAGARA,NIAGARA FALLS,NY,https://www.greaterniagarafcu.com
9554,COUNCILL,NORMAL,AL,
9555,NEW JERSEY COMMUNITY,MOORESTOWN,NJ,http://WWW.NEWJERSEYCOMMUNITYFCU.CO
9556,CLEARPATH,Burbank,CA,http://www.clearpathfcu.org
9566,EDDY,CARLSBAD,NM,http://www.eddyfederalcu.com
9582,BRIDGEPORT POLICE,BRIDGEPORT,CT,http://www.mybpfcu.org
9589,BARKSDALE,BOSSIER CITY,LA,http://www.bfcu.org
9590,ESPEECO,Bakersfield,CA,http://www.espeeco.org
9604,FIRST HERITAGE,Corning,NY,http://www.fhfcu.org
9607,APCI,Allentown,PA,https://www.apcifcu.org
9613,SARGENT,WASHINGTON,DC,
9622,FORGE,Upper Darby,PA,http://www.forgecu.org
9639,F A A,MEMPHIS,TN,http://www.faafcu.org
9643,MERITUS,LAFAYETTE,LA,http://www.merituscu.net
9644,CIT-CO,Sheridan,WY,HTTP://WWW.CITCOFCU.COM
9662,ROCKET CITY,HUNTSVILLE,AL,http://www.rocketcityfcu.org
9676,LINTON,TONAWANDA,NY,
9681,MORRISONS COVE 1ST,ROARING SPRING,PA,http://www.mcove1stfcu.com
9715,EMPLOYEES,TULSA,OK,http://www.employeesfed.com
9723,N.J.T. EMPLOYEES,Waldwick,NJ,
9759,FORTERA,Clarksville,TN,http://forteracu.com
9776,N.F.G. #2,WARREN,PA,http://www.nfg2.com
9777,EWEB EMPLOYEES,Eugene,OR,http://www.myewebcu.org/
9778,REDLANDS CITY EMPLOYEES,Redlands,CA,http://redlandsfcu.org
9788,EGLIN,Fort Walton Bea,FL,https://www.eglinfcu.org
9799,ROCKET,McGregor,TX,http://www.rocketfcu.com
9805,ARLINGTON MUNICIPAL,ARLINGTON,MA,http://www.arlfcu.org
9810,FIDELIS CATHOLIC,Arvada,CO,http://www.fideliscu.org
9812,NORTH TOWNS,Clarence,NY,http://www.northtownsfcu.com
9822,SANTO CHRISTO,FALL RIVER,MA,http://santochristocu.com
9823,BEVERLY HILLS CITY EMPLOYEES,BEVERLY HILLS,CA,http://www.bhcefcu.org
9843,FRIONA TEXAS,Friona,TX,https://www.frionacu.com
9871,SAINT LAWRENCE,Ogdensburg,NY,http://www.stlawrfcu.com
9873,KNOXVILLE FIREFIGHTERS,Knoxville,TN,http://www.knoxfirefcu.com
9877,EMERALD EMPIRE,Springfield,OR,http://www.youreecu.org
9880,ANDERSON COUNTY,Palestine,TX,http://www.ancfcu.com
9888,HB TELCO,Huron,SD,http://hbtelcofcu.com
9893,BEE,SALISBURY,MD,https://www.beefcu.org
9897,SOUTHEASTERN ARIZONA,Douglas,AZ,http://www.seafcu.com
9907,DAKOTA RAIL LINE,HURON,SD,
9915,MCCOY,ORLANDO,FL,http://www.mccoyfcu.org
9919,CAPITAL AREA,Augusta,ME,https://WWW.CAPITALAREAFCU.ORG
9923,SOLIDARITY COMMUNITY,Kokomo,IN,https://www.solfcu.org/
9924,WAILUKU,KAHULUI,HI,http://www.wailukufcu.com
9931,BAYOU,BATON ROUGE,LA,http://www.bayoufcu.org
9943,KSW,WATERVILLE,ME,https://www.kswfcu.org
9952,I R E B,Brooklyn,NY,
9971,SANTA FE,Amarillo,TX,http://www.santafefcu.com
9974,SHELBY/BOLIVAR COUNTY,BOYLE,MS,https://www.shelbycu.org
9976,GROW FINANCIAL,TAMPA,FL,http://www.growfinancial.org
9986,REV,SUMMERVILLE,SC,http://www.revfcu.com
9988,SAFE,Sumter,SC,https://www.safefed.org
9994,HEALTHNET,Cordova,TN,http://www.healthnetfcu.org
10011,MUNICIPAL EMPLOYEES,BOGALUSA,LA,
10015,ALLENTOWN,ALLENTOWN,PA,http://www.allentownfcu.com
10023,ISLAND,Hauppauge,NY,http://www.islandfcu.com
10047,WABELLCO,Washington,PA,http://www.wabfcu.org
10065,MYCOM,Pittsfield,MA,http://www.mycomcu.org
10099,TORCH LAKE,LAURIUM,MI,http://www.torchlakefederal.com
10100,TRUCHOICE,SOUTH PORTLAND,ME,http://WWW.TRUFCU.COM
10141,DERTOWN SCHOOL,Latrobe,PA,
10158,OK,Bartlesville,OK,http://www.okfcu.org
10164,HEART OF LOUISIANA,PINEVILLE,LA,http://www.heartcu.org
10170,CITIZENS,Big Spring,TX,http://www.citizensfcu.com
10174,FIRSTLIGHT,El Paso,TX,https://www.firstlightfcu.org
10177,TAYCO EMPLOYEES,South Shore,KY,
10180,FORT MORGAN SCHOOLS,Fort Morgan,CO,
10181,OUACHITA VALLEY,West Monroe,LA,http://www.ouachitavalleyfcu.org
10184,FRIENDLY,Aliquippa,PA,http://www.friendlyfcu.org
10220,FOCUS FIRST,Rochester,NY,http://www.focusfirstfcu.org
10221,GREAT FALLS REGIONAL,Lewiston,ME,http://www.greatfallsfcu.com
10223,EVERENCE,Lancaster,PA,http://www.everence.com
10225,BECCO BUFFALO,TONAWANDA,NY,
10241,MAPLE,Lafayette,LA,http://www.maplefcu.net
10243,OAHE,Pierre,SD,http://www.oahefcu.coop
10253,AKRON,Akron,CO,
10257,SENTINEL,ELLSWORTH AFB,SD,HTTP://WWW.SENTINELFCU.ORG
10262,ALTAMAHA,Jesup,GA,http://www.altamaha.org
10264,VALLEY WIDE OF PA,Tarentum,PA,https://www.valleywideofpa.com
10269,CHEROKEE COUNTY TEACHERS,RUSK,TX,http://WWW.CCTEACHERS.COM
10274,W B H EMPLOYEES,Paducah,KY,http://www.wbhfcu.com
10283,THE FOCUS,OKLAHOMA CITY,OK,http://www.focusok.com
10301,ROMNEY,ROMNEY,WV,http://www.romneyfcu.com
10308,ALTON MUNICIPAL EMPLOYEES,ALTON,IL,
10319,FIRST POINT,HAMILTON,NJ,http://firstpointfcu.com
10323,I B E W 26,LANHAM,MD,http://www.ibew26fcu.com
10324,JACKSON COUNTY,Edna,TX,http://www.jacksoncountyfcu.com
10327,VICTORIA TEACHERS,Victoria,TX,http://www.myvtfcu.com
10335,COCONINO,Flagstaff,AZ,https://www.coconinofcu.org
10351,LA LOMA,Bryn Mawr,CA,HTTP://WWW.LLFCU.ORG
10353,ACCESS OF LOUISIANA,Lake Charles,LA,http://www.access.coop
10362,NORTHERN REDWOOD,Arcata,CA,https://www.northernredwoodfcu.org
10375,1ST LIBERTY,Great Falls,MT,http://www.1stliberty.org
10381,FERKO MD,Frederick,MD,http://www.ferkomfcu.com
10393,ELECTRICAL WORKERS LOCAL 130,METAIRIE,LA,https://www.ibewlu130.com/local-130
10395,KINGS,Hanford,CA,http://www.kingsfcu.com
10399,KAHULUI,KAHULUI,HI,http://www.kahuluifcu.com
10424,LAS COLINAS,Irving,TX,http://www.lascolinasfcu.com
10433,BOPTI,SAN PEDRO,CA,http://www.boptifcu.com
10442,UNITED TRADES,TUALATIN,OR,http://www.unitedtradesfcu.org
10461,MCLENNAN COUNTY EMPLOYEES,Waco,TX,http://www.mclennancountyefcu.com
10465,UNIVERSITY OF HAWAII,Honolulu,HI,http://www.uhfcu.com
10481,MCMURREY,TYLER,TX,http://www.mcmurreyfcu.com
10502,YANTIS,YANTIS,TX,http://www.yantisfcu.com
10515,NEW ORLEANS CLERK & CHECKERS,METAIRIE,LA,http://www.facebook.com/noccfcu
10520,ALDERSON FCI,Alderson,WV,
10551,SCURRY COUNTY SCHOOL,SNYDER,TX,http://scurrycountyschoolfcu.com
10572,FITZSIMONS,AURORA,CO,http://www.fitzsimonscu.com
10577,BIG SPRING EDUCATION EMPLOYEES,BIG SPRING,TX,http://WWW.BSTCU.COM
10580,U-1ST COMMUNITY,Carlsbad,NM,http://www.u1stcommfcu.net
10585,LINCONE,LINCOLN,NE,http://www.linconefcu.org
10600,AIR ACADEMY,Colorado Spring,CO,http://www.aafcu.com
10613,NIAGARA FALLS A F,Niagara Falls,NY,http://www.niagarafallsafcu.com
10614,KEARNY MUNICIPAL EMPLOYEES,kearny,NJ,
10623,WELLESLEY MUNICIPAL EMPLOYEES,WELLESLEY,MA,http://www.wellesleymunefcu.com
10636,BRUNSWICK COUNTY TEACHERS,Lawrenceville,VA,
10640,CUSA,Covington,LA,http://www.cusafcu.com
10648,MARYKNOLL OF L A,Los Angeles,CA,
10666,GRAND HERITAGE,LAPORTE,IN,http://www.ghfcu.com
10671,GREATER PITTSBURGH,Pittsburgh,PA,http://www.greaterpittsburghfcu.org
10676,KNOX COUNTY TEACHERS,Knoxville,TN,http://www.kctfcu.org
10684,MERIDIA COMMUNITY,HAMBURG,NY,http://www.meridiacu.com
10687,HORIZON,Williamsport,PA,https://www.HORIZONFCU.ORG
10690,FAYETTE FEDERAL EMPLOYEES,UNIONTOWN,PA,http://www.ffefcu.org
10695,MORGANTOWN A E S,Morgantown,WV,http://www.aesfcu.com
10696,EDUCATIONAL SYSTEMS,Greenbelt,MD,http://www.esfcu.org
10699,SAN ANTONIO CITIZENS,SAN ANTONIO,FL,http://www.sacfcu.org
10704,P C,PORT ALLEGANY,PA,http://www.pcfederalcu.org
10706,COMMUNITIES OF ABILENE,Abilene,TX,http://www.coafcu.org
10709,UTAH COMMUNITY,Provo,UT,https://www.uccu.com
10720,NORTH PENN,COLMAR,PA,http://www.northpennfcu.org
10728,LEWISTON PORTER,YOUNGSTOWN,NY,http://www.lewistonporterfcu.com
10729,THE NEW HAVEN POLICE AND MUNICIPAL,New Haven,CT,https://www.nhpdfcu.com
10739,ANDREWS SCHOOL,Andrews,TX,
10741,PUBLIC SERVICE E.D. TRENTON,Lawrence Townsh,NJ,
10746,UPSTATE TELCO,Gloversville,NY,http://www.upstatetelcofcu.org
10754,TYNDALL,Panama City,FL,http://www.tyndall.org
10756,FIRST LINCOLN,Lincoln,NE,http://www.firstlincoln.org
10763,ELECTRICAL WORKERS NO 22,OMAHA,NE,http://www.ew22fcu.org
10772,LAKES,Monticello,IN,http://www.lakesfcu.com
10773,STRATTON AIR NATIONAL GUARD,SCOTIA,NY,
10778,H A L E,INDIANAPOLIS,IN,
10794,THE COUNTY,Presque Isle,ME,http://www.countyfcu.org
10799,LONGSHOREMEN'S LOCAL 4,Vancouver,WA,http://www.lshore4cu.com
10800,THE HEALTH & EDUCATION,Lexington,KY,http://www.thefcu.com
10803,ISRAEL MEMORIAL A M E,Newark,NJ,
10832,FORT SILL,Lawton,OK,http://www.fsfcu.com
10857,DEER LODGE COUNTY SCHOOL EMP,Anaconda,MT,
10859,W T COMMUNITY,Cincinnati,OH,
10865,GREATER WATERBURY HEALTHCARE,WATERBURY,CT,http://www.gwhfcu.com
10866,KINETIC,Columbus,GA,https://www.kineticCU.com
10880,PINELLAS,Largo,FL,http://www.pinellasfcu.org
10882,LOCAL UNION 1186 IBEW,HONOLULU,HI,
10898,MIDCOAST,Freeport,ME,https://www.midcoastfcu.me
10904,GRANCO,Ephrata,WA,https://www.granco.org
10913,SOUTHWEST RESEARCH CENTER,San Antonio,TX,https://www.swrcfcu.com
10920,ARKANSAS,Little Rock,AR,http://www.afcu.org
10933,SERVU,Painted Post,NY,http://www.servucu.com
10938,HAWAII FIRST,Kamuela,HI,http://www.hawaiifirstfcu.com
10939,BANGOR,BANGOR,ME,http://www.bangorfederal.com
10954,METHUEN,Methuen,MA,http://methuencreditunion.com
10958,FIRST EAGLE,Owings Mills,MD,http://www.firsteaglefcu.org
10973,UFCW COMMUNITY,WYOMING,PA,http://www.ufcwpa.org
10994,NAFT,Pharr,TX,http://www.naftfcu.coop
11011,LAREDO,Laredo,TX,http://www.laredofcu.org
11014,EAST ORANGE FIREMENS,Bloomfield,NJ,http://eoffcu.com
11030,GRASSLANDS,CIRCLE,MT,http://www.grasslandscu.com
11032,HEART O' TEXAS,Waco,TX,http://www.hotfcu.org
11045,PBA,Pine Bluff,AR,http://www.pbafcu.com
11056,NORTHEAST ALABAMA POSTAL,Anniston,AL,http://WWW.NEAPFCU.COM
11057,FIRST FAMILY,Henryetta,OK,http://www.firstfamilyfcu.com
11065,SECURITY SERVICE,San Antonio,TX,https://www.ssfcu.org
11067,4U,Gainesville,TX,http://www.4ucu.org
11099,EAST COUNTY SCHOOLS,EL CAJON,CA,http://www.eastcountyschools.org
11111,FREEDOM FIRST,Roanoke,VA,http://www.freedomfirst.com
11123,S R I EMPLOYEES,Birmingham,AL,
11144,DIRIGO,Lewiston,ME,http://www.dirigofcu.com
11152,ETMA,LOUISVILLE,TN,https://www.etmafcu.net
11154,BLUE COAST,Perry,FL,http://www.myBCFCU.com
11157,UTICA DISTRICT TELEPHONE EMPLOYEES,UTICA,NY,http://WWW.UTELFCU.NET
11162,CANOPY,SPOKANE,WA,http://www.canopycu.com
11164,COASTAL BEND P O,Victoria,TX,
11168,AUDUBON,Owensboro,KY,http://www.audubonfcu.net
11170,FIRST SERVICE,Groveport,OH,http://firstcu.com
11172,COMMUNITY CONNECT,Titusville,PA,http://www.communityconnectfcu.com
11242,PINPOINT,MILTON,PA,https://www.pinpointfcu.org
11253,NEW DIMENSIONS,Waterville,ME,https://www.newdimensionsfcu.com
11254,CELCO COMMUNITY,NARROWS,VA,http://www.celcofcu.org
11273,STERLING UNITED,EVANSVILLE,IN,http://www.sufcu.org
11285,CORNING GLASS WORKS HARRODSBG,Harrodsburg,KY,
11293,VACATIONLAND,Sandusky,OH,https://vlfcu.org
11299,C A S E,Tyler,TX,http://www.casefcu.org
11300,CLEARWATER,Missoula,MT,http://www.clearwatercreditunion.or
11304,ARC,Altoona,PA,http://www.arcfcu.org
11307,APPLE,Fairfax,VA,http://www.applefcu.org
11316,SANDIA AREA,Albuquerque,NM,http://www.sandia.org
11323,PACE,Huntington,WV,http://www.pacefederal.com
11331,M D U EMPLOYEES,Glendive,MT,http://www.mdufcu.com
11340,ST. MICHAELS,CRAIG,CO,
11347,WILMINGTON POLICE & FIRE,Wilmington,DE,http://www.wpffcu.org
11353,EAST RIVER,Madison,SD,http://www.eastriverfcu.com
11364,THE FAMILY FIRST,Great Falls,MT,http://www.familyfirstfcu.org
11374,C-B-W SCHOOLS,SIDMAN,PA,http://www.cbwsfcu.org
11377,SWEETWATER REGIONAL,Sweetwater,TX,http://www.sweetwatercredit.com
11380,FIDELIS,NEW YORK,NY,http://www.fidelisfcu.org
11391,KINZUA,Warren,PA,http://www.kinzuafcu.com
11400,GOLDMARK,Attleboro,MA,http://www.goldmarkfcu.com
11402,GREAT MEADOW,Granville,NY,http://www.greatmeadowfcu.org
11409,LITHIUM,BESSEMER CITY,NC,http://www.lithiumfcu.org
11440,BUTLER HERITAGE,Middletown,OH,http://www.butlerheritagefcu.org
11445,BREWSTER,Brewster,OH,http://www.brewsterfcu.org
11452,CY-FAIR,Houston,TX,http://www.cyfairfcu.org
11458,MOORE COUNTY SCHOOLS,Dumas,TX,https://www.mcsfcreditunion.com
11459,WINSLOW SCHOOL EMPLOYEES,WINSLOW,AZ,
11470,SWEET HOME,AMHERST,NY,http://WWW.SWEETHOMEFCU.ORG
11477,UNIVERSAL COOP,Rio Grande,PR,http://www.universalcoopfcu.com
11520,ASCENT,OGDEN,UT,http://www.ascentcu.com
11524,IRS BUFFALO,Buffalo,NY,http://www.irsbflofcu.org
11526,DAKOTA PLAINS,Lemmon,SD,https://www.dakotaplainsfcu.com
11533,KNOXVILLE LAW ENFORCEMENT,Knoxville,TN,http://www.klefcu.com
11548,COLUMBINE,Centennial,CO,http://www.columbinefcu.org
11550,MARYVALE SCHOOLS,CHEEKTOWAGA,NY,http://maryvaleschoolsfcu.com
11554,FAMILY TRUST,Rock Hill,SC,http://www.familytrust.org
11567,BRISTOL VA SCHOOL SYSTEM,Bristol,VA,
11576,TEXHILLCO SCHOOL EMPLOYEES,Kerrville,TX,https://Texhillco.org
11604,EAST ORANGE VA HOSPITAL,East Orange,NJ,http://www.eovahfcu.com
11640,BOULEVARD,Amherst,NY,HTTP://WWW.BLVDFCU.COM
11643,FREEDOM 1ST,MCCONNELL AFB,KS,http://www.freedom1stfcu.org
11652,GOLDEN VALLEY,Manteca,CA,http://www.goldenvalleyfcu.org
11658,AVENUE BAPTIST BROTHERHOOD,Shreveport,LA,
11663,GOOD NEIGHBORS,Depew,NY,http://www.goodneighborscu.com
11670,TEXOMA EDUCATORS,SHERMAN,TX,http://www.texomaeducators.com
11671,T.E.S. REGIONAL HEALTHCARE,SHREVEPORT,LA,http://www.tesfcu.org
11674,FIRELANDS,Bellevue,OH,http://www.firelandsfcu.org
11678,TIMBERLINE,Crossett,AR,http://www.timberlinefcu.org
11680,BANNER,Phoenix,AZ,http://bannerfcu.org
11685,ARKANSAS SUPERIOR,WARREN,AR,http://www.asfcu.coop
11689,WYROPE WILLIAMSPORT,S WILLIAMSPORT,PA,http://www.wyrope.org
11718,GRAND JUNCTION,Grand Junction,CO,http://www.grandjunctionfcu.org
11721,SAN PATRICIO COUNTY TEACHERS,Sinton,TX,http://www.sanpatcu.com
11723,CORNERSTONE COMMUNITY,LOCKPORT,NY,https://www.ccfcu.org
11744,AUGUSTA COUNTY,VERONA,VA,https://www.augustacountyfcu.org
11746,BROWARD HEALTHCARE,FORT LAUDERDALE,FL,http://www.bhcfcu.org
11761,PECO,Mineral Wells,TX,
11779,PUBLIC SERVICE,Middlesex,NJ,http://www.psfcunj.com
11780,SANTA ROSA COUNTY,MILTON,FL,http://www.srcfcu.org
11782,BAYOU COMMUNITY,Saint Gabriel,LA,http://www.bayoucfcu.com
11783,S I PHILADELPHIA,PHILADELPHIA,PA,
11786,HURRICANE CREEK,BENTON,AR,http://www.hurricanecreekfcu.org
11793,EMBOLD,Milwaukie,OR,http://www.emboldcu.org
11824,CHURCHILL COUNTY,FALLON,NV,https://www.myccfcu.org
11836,BAYER HERITAGE,New Martinsvill,WV,http://bayerhfcu.com
11867,A.C.P.E.,Laramie,WY,HTTP://WWW.ACPEFCU.COM
11870,DOWNEY,DOWNEY,CA,http://www.downeyfcu.org
11872,SRI,MENLO PARK,CA,http://SRIFCU.ORG
11891,MERCER COUNTY COMMUNITY,Hermitage,PA,http://www.mercomfcu.org
11900,MOJAVE PLANT EMPLOYEES,MOJAVE,CA,
11902,PATTERSON,ARKADELPHIA,AR,http://www.pfcuonline.org
11905,CASTPARTS EMPLOYEES,Portland,OR,http://www.castpartsfcu.org
11913,ALCOA COMMUNITY,BENTON,AR,http://www.alcoacommunityfcu.org
11927,COASTAL COMMUNITY,Galveston,TX,http://www.coastalcommunityfcu.org
11942,ST. TAMMANY,SLIDELL,LA,http://www.sttammanyfederalcu.org
11943,BEFIT FINANCIAL,Vacaville,CA,http://www.bffcu.org
11944,KAIPERM,Walnut Creek,CA,http://www.kaipermcu.org
11949,IBEW 76,TACOMA,WA,https://www.ibew76fcu.org
11950,COVINGTON SCHOOLS,ANDALUSIA,AL,
11962,R G,RAYMORE,MO,https://www.RGFCU.COM
11972,YOUR CHOICE,ALTOONA,PA,HTTP://WWW.YOURCHOICEFCU.COM
11975,ANG,BIRMINGHAM,AL,http://www.angfcu.org
11979,NORTHLAND AREA,Alpena,MI,http://www.northlandcu.com
11986,HIGH STREET BAPTIST CHURCH,Roanoke,VA,
11992,ST. PASCHAL BAYLONS,HIGHLAND HEIGHT,OH,
11995,GREATER CENTRAL TEXAS,KILLEEN,TX,http://www.gctfcu.net
11996,COLQUITT COUNTY TEACHER,Moultrie,GA,
12000,MOHAVE COMMUNITY,KINGMAN,AZ,http://mohavecommunityfcu.com
12004,NORTH CAROLINA COMMUNITY,GOLDSBORO,NC,http://www.nccfcu.org
12012,OLD WEST,JOHN DAY,OR,https://www.oldwestfcu.org/
12028,DENOCOS,CRESCENT CITY,CA,http://www.denocoscu.com
12029,UNITED CATHOLICS,COVINA,CA,HTTP://WWW.UNITEDCATHOLICSFCU.ORG
12033,PANHANDLE,Wellington,KS,http://www.panhandlefcu.com
12067,BAY,CAPITOLA,CA,http://www.bayfed.com
12068,WALKER COUNTY,Huntsville,TX,http://www.walkercountyfcu.com
12082,RED RIVER,Altus,OK,http://www.redriverfcu.com
12084,MID OREGON,BEND,OR,http://www.midoregon.com
12143,ONE COMMUNITY,Parkersburg,WV,http://www.onecommunityfcu.net
12152,CLIFTY CREEK EMPLOYEES,Madison,IN,http://bsdc.onlinecu.com/cliftycree
12153,AFENA,Marion,IN,https://www.afenafcu.org
12164,AERO,Glendale,AZ,http://www.aerofinancial.com
12170,LE ROY,LE ROY,NY,http://www.leroyfcu.org
12175,P S E,Somerset,NJ,
12181,WELLSPRING,Bridge City,TX,http://www.wellspringcu.com
12185,THIOKOL ELKTON,Elkton,MD,http://www.thiokolfcu.org
12199,KIRTLAND,ALBUQUERQUE,NM,http://www.kirtlandcu.org
12219,USSCO JOHNSTOWN,JOHNSTOWN,PA,http://www.usscofcu.org
12225,RAPIDES,ALEXANDRIA,LA,http://www.rapidesfederalcu.com
12227,PASSAIC POLICE,PASSAIC,NJ,
12259,SHERWIN,Portland,TX,http://www.sherwinfcu.org
12266,ELLIS COUNTY TEACHERS AND EMPLOYEES,WAXAHACHIE,TX,https://www.ectefcu.net
12271,SOUTHWEST OKLAHOMA,LAWTON,OK,http://www.swofcu.com
12274,PLAINS,Plainview,TX,http://www.plainsfcu.com
12289,LITTLEFIELD SCHOOL EMPLOYEES,Littlefield,TX,
12290,VALDOSTA TEACHERS,Valdosta,GA,http://www.valdostateachersfcu.org
12291,GEORGIA POWER VALDOSTA,Valdosta,GA,http://www.gpvfcu.com
12292,BARTON PLANT EMPLOYEES,Luling,LA,http://www.bartonfcu.com
12305,FAIRFIELD,PINE BLUFF,AR,http://www.fairfieldcreditunion.org
12310,FAYETTE,MOUNT HOPE,WV,http://fayettefcu.virtualcu.net
12319,OMAHA POLICE,Omaha,NE,http://opfcu.net
12330,WYMAR,GEISMAR,LA,HTTP://WWW.WYMARFCU.COM
12333,EARNING TREE,Wyoming,PA,http://www.etreefcu.com
12334,NESC,METHUEN,MA,http://www.nescfcu.org
12351,PORT CONNEAUT,Conneaut,OH,http://www.portconnfcu.com
12354,WYO CENTRAL,CASPER,WY,http://www.wyocentral.org
12356,IBERVILLE,PLAQUEMINE,LA,http://www.ibervillefcu.org
12361,CAROLINA TRUST,MYRTLE BEACH,SC,https://www.carolinatrust.org
12365,REFUGIO COUNTY,Refugio,TX,http://www.refugiocountyfcu.com
12375,NORWALK POSTAL EMPLOYEES,WATERBURY,CT,
12383,EAST ALABAMA COMMUNITY,OPELIKA,AL,http://www.eamcfcu.com
12425,FOOTHILL,Arcadia,CA,http://www.foothillcu.org
12438,ARMSTRONG ASSOCIATES,Ford City,PA,http://www.myaafcu.com
12440,"MASTERS, MATES & PILOTS (MM&P)",Linthicum,MD,http://creditunion.bridgedeck.org
12443,DOVER,DOVER,DE,http://doverfcu.com
12458,VELOCITY COMMUNITY,PALM BEACH GARD,FL,http://www.velocitycommunity.org
12470,MOUNTAIN HERITAGE,PARKERSBURG,WV,http://www.mhfcu.net
12472,LAREDO FIRE DEPARTMENT,Laredo,TX,http://WWW.laredofirecreditunion.co
12473,DANNEMORA,PLATTSBURGH,NY,https://www.dfcu.net
12478,ELECTRICAL WORKERS NO 558,SHEFFIELD,AL,http://www.ew558fcu.com
12505,FORT LIGONIER,JEROME,PA,http://www.fortligonierfcu.com
12508,SANTA MARIA ASSOCIATED EMPLOYEES,Santa Maria,CA,http://smaefcu.org
12527,OUACHITA VALLEY HEALTH SYSTEM,CAMDEN,AR,
12543,TORRANCE COMMUNITY,TORRANCE,CA,http://www.torranceccu.org
12546,MEDICAL EMPLOYEES OF STATEN ISLAND,STATEN ISLAND,NY,
12570,UNIVERSITY OF LOUISIANA,Lafayette,LA,http://www.ulfcu.com
12601,PINE,PINE BLUFF,AR,http://www.pinefcu.com
12604,FRANKLIN FIRST,Greenfield,MA,http://www.franklinfirst.org
12608,OLATHE,Olathe,CO,
12613,GLOVER,Honolulu,HI,
12616,ERIE COMMUNITY,Sandusky,OH,http://www.eriecommunityfcu.org
12619,PUBLIC SERVICE EDWARDSPT PL E,Linton,IN,
12624,RT,ROME,NY,http://www.rtfcu.com
12643,CORRY,Corry,PA,http://www.corryfcu.org
12648,BLUEGRASS COMMUNITY,ASHLAND,KY,http://www.bluegrasscreditunion.com
12654,SRU,Slippery Rock,PA,http://www.srufcu.org
12666,MILLS42,Lowell,MA,http://www.mills42fcu.com
12671,COOPERS CAVE,Glens Falls,NY,http://cooperscavefcu.com
12673,UNITED HOSPITAL CENTER,Bridgeport,WV,http://www.uhcfcu.virtualcu.net
12679,EDIFI,Willingboro,NJ,http://www.abcofcu.org
