,CHARTER,city,url,state,name,charter_id
291,0,Hammond,,WI,Hammond State Bank,10376
292,0,New Glarus,www.thebankofnewglarus.bank,WI,The Bank of New Glarus,10378
293,0,Newton,,WI,Newton State Bank,10379
294,0,Swansea,,IL,Union Bank of Illinois,1038
295,0,Oostburg,www.oostburgstate.bank,WI,Oostburg State Bank,10380
296,0,Cambridge,,WI,M&I Bank of Cambridge,10381
297,0,Marinette,http://www.fmmarinette.com,WI,Farmers & Merchants Bank & Trust,10382
298,0,La Crosse,www.statebankfinancial.bank,WI,State Bank Financial,10383
299,0,Waumandee,http://www.waumandeebank.com,WI,Waumandee State Bank,10384
300,0,Edwardsville,,IL,The Bank of Edwardsville,1039
301,0,Alma,,AR,Commercial Bank at Alma,104
302,0,Effingham,www.midlandsb.com,IL,Midland States Bank,1040
303,0,Brush,www.fsbbrushakron.com,CO,The Farmers State Bank of Brush,10407
304,0,Eldorado,,IL,"C. P. Burnett & Sons, Bankers",1041
305,0,Estes Park,,CO,United Valley Bank,10411
306,0,Lamar,,CO,Valley State Bank,10412
307,0,Pagosa Springs,,CO,"The Citizens Bank of Pagosa Springs, Colorado",10413
308,0,Yuma,,CO,Farmers State Bank of Yuma,10417
309,0,New London,,CT,The Winthrop Bank and Trust Company,10418
310,14407,Greenville,,IL,First Bank and Trust Company in Greenville,1042
311,22435,Springfield,,MA,"Fleet Bank, National Association",10424
312,0,Hartford,,CT,The Guaranty Bank and Trust Company,10425
313,0,Jewett City,,CT,The Jewett City Trust Company,10426
314,14387,Mt. Vernon,,IL,"Citizens Bank of Illinois, National Association",1043
315,0,Cropsey,,IL,Citizens State Bank of Cropsey,10430
316,0,Dix,,IL,First State Bank of Dix,10432
317,0,Girard,,IL,State Bank of Girard,10433
318,0,Graymont,www.sbofgray.com,IL,State Bank of Graymont,10434
319,0,Hull,,IL,Omni Bank,10435
320,0,Manito,,IL,People's State Bank,10436
321,0,Olmsted,www.firststatebank-olmsted.com,IL,First State Bank of Olmsted,10437
322,0,Raritan,www.raritanstatebank.com,IL,Raritan State Bank,10438
323,0,Saint Libory,,IL,The Village Bank,10439
324,14509,Hillsboro,,IL,County National Bank,1044
325,0,Aurora,,IL,Benchmark Bank,10440
326,0,Villa Park,,IL,Villa Park Trust & Savings Bank,10441
327,0,Collinsville,,IL,United Illinois Bank of Collinsville,10442
328,0,Bowen,,IL,Bowen State Bank,10443
329,0,Bradley,,IL,Bradley Bank,10444
330,0,Paxton,www.tfcbanks.com,IL,"Frederick Community Bank, The",10446
331,0,Ashton,,IL,"AMCORE Bank, Ashton-Rochelle",10447
332,0,Chicago,,IL,Hyde Park Bank and Trust Company,10448
333,0,Cornland,,IL,State Bank of Cornland,10449
334,0,Hoyleton,,IL,Hoyleton State and Savings Bank,1045
335,0,Moline,,IL,Valley Bank,10450
336,0,Plainfield,,IL,NLSB,10451
337,0,Zion,,IL,First of America Bank - Zion,10452
338,0,Lewistown,,IL,Farmers State Bank of Lewistown,10454
339,0,Mokena,,IL,Mokena State Bank,10457
340,0,Mount Sterling,www.fsb-tc.com,IL,Farmers State Bank & Trust Co.,10458
341,0,Princeton,,IL,"AMCORE Bank, Princeton",10459
