charter_id,assets,deposits,year,month
1,11419048,2348503,2024,9
6,270329243,24797235,2024,9
12,58700838,15168725,2024,9
13,1125128209,94977864,2024,9
16,9502892,5615204,2024,9
19,9602721,585197,2024,9
22,329619979,46334597,2024,9
26,20941002,14475328,2024,9
28,1371241672,19910095,2024,9
42,145538238,35627185,2024,9
47,57214623,29892717,2024,9
48,63483112,22330818,2024,9
51,8945023510,602220509,2024,9
53,61963140,11384717,2024,9
60,462981005,65198344,2024,9
77,200051859,28007778,2024,9
79,876271322,37401617,2024,9
82,291790412,53855392,2024,9
90,7957049,3915023,2024,9
98,12328427,1646143,2024,9
107,74566808,40366348,2024,9
108,44173470,25018073,2024,9
110,39192384,7578152,2024,9
119,97632618,1820938,2024,9
120,116406839,11898683,2024,9
132,1093308,878813,2024,9
135,88791590,27068495,2024,9
138,41686981,1820893,2024,9
146,5351000,1010067,2024,9
147,1542058,451989,2024,9
150,439665062,34291890,2024,9
151,1049106074,108350416,2024,9
153,387156,347049,2024,9
159,2466250024,114127420,2024,9
162,174195693,34694439,2024,9
167,658664712,115734962,2024,9
168,40957255,11554712,2024,9
169,1686923,1150780,2024,9
176,1662844859,173036562,2024,9
187,28911992,15189789,2024,9
195,18349075,3644356,2024,9
196,2880874959,158201955,2024,9
198,50902094,15382946,2024,9
199,207093709,15816107,2024,9
200,9958594,5850565,2024,9
205,272796763,32125470,2024,9
216,74820903,32593381,2024,9
220,39364064,14955150,2024,9
224,156242085,33237333,2024,9
227,32713549837,1407940833,2024,9
233,200648269,8616470,2024,9
234,80318531,22860267,2024,9
240,81370300,33420205,2024,9
242,128950176,21336124,2024,9
256,272140797,15409673,2024,9
258,425199454,100339282,2024,9
262,73668138,3155104,2024,9
266,327361153,34666287,2024,9
274,182087158,57620172,2024,9
277,2348840,242227,2024,9
287,12913385,7297759,2024,9
288,13501693,5594580,2024,9
294,449831883,24765451,2024,9
303,117014975,16639104,2024,9
306,109586375,12720757,2024,9
319,285659537,15173479,2024,9
320,123090517,10532116,2024,9
340,599189946,26685033,2024,9
352,427632965,46359339,2024,9
361,700365914,51863622,2024,9
365,99611884,17725832,2024,9
367,33320416,8852102,2024,9
370,20874903,4204550,2024,9
373,98037060,6626437,2024,9
376,9164194,2892023,2024,9
378,7384699,4511404,2024,9
383,43508955,22875611,2024,9
389,161841152,14052944,2024,9
390,51087967,17600316,2024,9
395,120046957,15348811,2024,9
404,164287959,13339519,2024,9
422,10900957,6766929,2024,9
430,107156334,4887358,2024,9
435,2896046142,60156462,2024,9
444,16412284,7984386,2024,9
452,38419072,12840159,2024,9
464,85311520,25815364,2024,9
473,163780140,11800705,2024,9
475,64810488,19535772,2024,9
477,247692112,11495778,2024,9
484,18521813,5348831,2024,9
489,240300744,58517222,2024,9
490,74535798,27412733,2024,9
511,153470921,5270729,2024,9
514,11382686,6120986,2024,9
517,31767821,1245967,2024,9
524,2362522,641022,2024,9
528,1033860530,107817768,2024,9
538,27712179,8912151,2024,9
566,3469113230,345297021,2024,9
567,16002093,11259531,2024,9
577,16489527,2636970,2024,9
594,364712289,12895265,2024,9
606,407399772,50235986,2024,9
609,24844329,3058615,2024,9
613,77485506,8551852,2024,9
616,36465287,3670199,2024,9
619,2048751096,331058451,2024,9
620,17208974,1896337,2024,9
624,1507147669,266127138,2024,9
640,6517194,2083756,2024,9
644,169667448,9743872,2024,9
648,10110483,1316153,2024,9
649,97022481,10204589,2024,9
663,23136894,5318010,2024,9
665,298154618,36941251,2024,9
678,19253116,1358799,2024,9
687,83566038,8545552,2024,9
690,183051463,33264836,2024,9
716,67365534,14751560,2024,9
761,194411466,21801405,2024,9
770,114227199,17733122,2024,9
785,92277937,54635134,2024,9
794,122798277,17742424,2024,9
795,5299559,1800561,2024,9
798,6131102,3275216,2024,9
808,1504340758,61761334,2024,9
817,41688866,3894553,2024,9
818,30282239,15373320,2024,9
832,121582822,39983012,2024,9
838,9142143,3172568,2024,9
839,53653384,11798119,2024,9
841,8072568,3250765,2024,9
845,53377129,7293040,2024,9
850,108191641,38525761,2024,9
851,19826447,5297339,2024,9
854,169045803,6603589,2024,9
856,43081172,18546311,2024,9
857,4122787107,161897269,2024,9
858,61526048,7097743,2024,9
871,85922616,28443613,2024,9
872,169374287,19923354,2024,9
884,16019653,2820124,2024,9
887,210338937,15358320,2024,9
888,4403700,1771693,2024,9
900,13266324,2141633,2024,9
909,46943804,16107422,2024,9
911,166881213,9411377,2024,9
916,7386059,248674,2024,9
926,150728999,8335924,2024,9
930,1111705,919734,2024,9
932,32411459,18289204,2024,9
943,7546884,4511466,2024,9
946,100853881,50489384,2024,9
948,4932777059,382940883,2024,9
951,26769548,15742499,2024,9
960,346338126,89864122,2024,9
964,75896432,18050128,2024,9
967,265349578,39174507,2024,9
986,8736109,501178,2024,9
988,116766080,6493435,2024,9
1000,170363927,56787372,2024,9
1015,228651353,12978339,2024,9
1021,180705676,7599171,2024,9
1022,2519426018,236328351,2024,9
1034,63443173,27301600,2024,9
1040,1597502317,45279792,2024,9
1049,99185228,40467570,2024,9
1059,6899482,4517804,2024,9
1068,25334236,4620053,2024,9
1074,1461148571,50007753,2024,9
1077,62427566,43012096,2024,9
1080,22225669,3114043,2024,9
1086,27420090,11869630,2024,9
1108,91212875,8409323,2024,9
1111,18984346,10028694,2024,9
1113,10339591,5433313,2024,9
1115,134733539,7124381,2024,9
1117,431129892,45521560,2024,9
1125,54693366,2586240,2024,9
1127,91059451,15884142,2024,9
1129,21255620,2469452,2024,9
1130,3357275,489225,2024,9
1131,22169500,1275299,2024,9
1133,119424824,33326672,2024,9
1134,4276122,3344821,2024,9
1148,341568144,26592489,2024,9
1157,17126240,6544023,2024,9
1166,20486950,4942330,2024,9
1167,62856490,3681713,2024,9
1172,95396181,46042864,2024,9
1199,710241637,58971158,2024,9
1204,108016124,31451320,2024,9
1207,1316213354,58996719,2024,9
1236,13927703,5947887,2024,9
1239,57347792,5415829,2024,9
1245,70381998,11406271,2024,9
1248,13201531,737261,2024,9
1251,57055485,27642086,2024,9
1257,72639970,13025290,2024,9
1261,5361019428,391658975,2024,9
1263,31780778,13234641,2024,9
1273,4364915289,14932365,2024,9
1282,10383049,2811034,2024,9
1309,153906423,11163228,2024,9
1339,30179602,2618262,2024,9
1343,3407483,166119,2024,9
1344,18710037,3834028,2024,9
1351,44023917,9624348,2024,9
1352,279345314,6184626,2024,9
1364,206191433,96626309,2024,9
1367,4100757196,344760566,2024,9
1397,22856319,11780962,2024,9
1399,60054003,41091378,2024,9
1401,71064438,17538792,2024,9
1404,334268632,22030736,2024,9
1407,181436091,11418803,2024,9
1409,990017143,97682582,2024,9
1410,462944517,37437645,2024,9
1427,880276871,83739221,2024,9
1438,283652147,497284,2024,9
1454,1862936593,83744134,2024,9
1457,9112694,5950598,2024,9
1461,24825508,11340811,2024,9
1463,5502543,1548168,2024,9
1472,1320653111,120442473,2024,9
1476,814780413,65622249,2024,9
1493,2691987267,129464672,2024,9
1499,41247585,29693135,2024,9
1509,397588616,81129737,2024,9
1520,2779579673,660545080,2024,9
1542,76980859,4314927,2024,9
1546,413885,132867,2024,9
1558,146870868,21810042,2024,9
1584,236613315,21061379,2024,9
1599,5035366,3409509,2024,9
1601,2926572,332515,2024,9
1607,170029343,100433552,2024,9
1621,37074393,10727466,2024,9
1644,2387185542,303557848,2024,9
1646,11931737,500765,2024,9
1658,67272691,14701855,2024,9
1660,259386,165877,2024,9
1665,482629,154475,2024,9
1669,8787288,941602,2024,9
1682,4157434290,610982869,2024,9
1717,963647726,106433344,2024,9
1718,2421182722,208012425,2024,9
1719,727060190,43598046,2024,9
1725,48786247,21929040,2024,9
1726,436443635,19234945,2024,9
1729,42280699,4574956,2024,9
1733,672517598,37746588,2024,9
1739,30487955,16060527,2024,9
1750,60909795,18191590,2024,9
1759,356494141,39353770,2024,9
1784,126297791,40453273,2024,9
1785,73467233,12667997,2024,9
1788,55575142,4000926,2024,9
1792,324871742,16388950,2024,9
1810,28925674,12939171,2024,9
1815,2556023553,307384278,2024,9
1817,32168733,7109697,2024,9
1821,46218946,2824224,2024,9
1827,22479285,6595821,2024,9
1829,901725193,132491798,2024,9
1830,388656761,31052779,2024,9
1838,5231682,2563286,2024,9
1845,1290651435,109019419,2024,9
1851,3622420,1559839,2024,9
1866,446249326,40607256,2024,9
1869,33354240,15533373,2024,9
1870,208748362,13004907,2024,9
1879,25565408,6030419,2024,9
1880,88680106,26071754,2024,9
1882,60743260,9951253,2024,9
1888,169263171,9376227,2024,9
1904,44978149,3907458,2024,9
1909,283276564,89864538,2024,9
1911,174877680,75356897,2024,9
1941,1839411280,94768468,2024,9
1961,475368328,48271334,2024,9
1969,67873269,3888780,2024,9
1982,385404182,48748054,2024,9
1987,13533758,9718811,2024,9
1992,236259,175652,2024,9
1999,9904163133,801255916,2024,9
2003,4073880,707025,2024,9
2008,55573155,5957182,2024,9
2021,15501361,8445870,2024,9
2024,556137528,49680107,2024,9
2046,12852522,2051192,2024,9
2049,47907587,22256199,2024,9
2051,69669018,8222450,2024,9
2056,8674658,4666108,2024,9
2065,7605877,1985284,2024,9
2068,29152445,8829787,2024,9
2098,164256,131783,2024,9
