,charter_id,assets,deposits,year,month
163,1021,180705676,7599171,2024,9
164,1022,2519426018,236328351,2024,9
165,1034,63443173,27301600,2024,9
166,1040,1597502317,45279792,2024,9
167,1049,99185228,40467570,2024,9
168,1059,6899482,4517804,2024,9
169,1068,25334236,4620053,2024,9
170,1074,1461148571,50007753,2024,9
171,1077,62427566,43012096,2024,9
172,1080,22225669,3114043,2024,9
173,1086,27420090,11869630,2024,9
174,1108,91212875,8409323,2024,9
175,1111,18984346,10028694,2024,9
176,1113,10339591,5433313,2024,9
177,1115,134733539,7124381,2024,9
178,1117,431129892,45521560,2024,9
179,1125,54693366,2586240,2024,9
180,1127,91059451,15884142,2024,9
181,1129,21255620,2469452,2024,9
182,1130,3357275,489225,2024,9
183,1131,22169500,1275299,2024,9
184,1133,119424824,33326672,2024,9
185,1134,4276122,3344821,2024,9
186,1148,341568144,26592489,2024,9
187,1157,17126240,6544023,2024,9
188,1166,20486950,4942330,2024,9
189,1167,62856490,3681713,2024,9
190,1172,95396181,46042864,2024,9
191,1199,710241637,58971158,2024,9
192,1204,108016124,31451320,2024,9
193,1207,1316213354,58996719,2024,9
194,1236,13927703,5947887,2024,9
195,1239,57347792,5415829,2024,9
196,1245,70381998,11406271,2024,9
197,1248,13201531,737261,2024,9
198,1251,57055485,27642086,2024,9
199,1257,72639970,13025290,2024,9
200,1261,5361019428,391658975,2024,9
201,1263,31780778,13234641,2024,9
202,1273,4364915289,14932365,2024,9
203,1282,10383049,2811034,2024,9
204,1309,153906423,11163228,2024,9
205,1339,30179602,2618262,2024,9
206,1343,3407483,166119,2024,9
207,1344,18710037,3834028,2024,9
208,1351,44023917,9624348,2024,9
209,1352,279345314,6184626,2024,9
210,1364,206191433,96626309,2024,9
211,1367,4100757196,344760566,2024,9
212,1397,22856319,11780962,2024,9
213,1399,60054003,41091378,2024,9
214,1401,71064438,17538792,2024,9
215,1404,334268632,22030736,2024,9
216,1407,181436091,11418803,2024,9
217,1409,990017143,97682582,2024,9
218,1410,462944517,37437645,2024,9
219,1427,880276871,83739221,2024,9
220,1438,283652147,497284,2024,9
221,1454,1862936593,83744134,2024,9
222,1457,9112694,5950598,2024,9
223,1461,24825508,11340811,2024,9
224,1463,5502543,1548168,2024,9
225,1472,1320653111,120442473,2024,9
226,1476,814780413,65622249,2024,9
227,1493,2691987267,129464672,2024,9
228,1499,41247585,29693135,2024,9
229,1509,397588616,81129737,2024,9
230,1520,2779579673,660545080,2024,9
231,1542,76980859,4314927,2024,9
232,1546,413885,132867,2024,9
233,1558,146870868,21810042,2024,9
234,1584,236613315,21061379,2024,9
235,1599,5035366,3409509,2024,9
236,1601,2926572,332515,2024,9
237,1607,170029343,100433552,2024,9
238,1621,37074393,10727466,2024,9
239,1644,2387185542,303557848,2024,9
240,1646,11931737,500765,2024,9
241,1658,67272691,14701855,2024,9
242,1660,259386,165877,2024,9
243,1665,482629,154475,2024,9
244,1669,8787288,941602,2024,9
245,1682,4157434290,610982869,2024,9
246,1717,963647726,106433344,2024,9
247,1718,2421182722,208012425,2024,9
248,1719,727060190,43598046,2024,9
249,1725,48786247,21929040,2024,9
250,1726,436443635,19234945,2024,9
251,1729,42280699,4574956,2024,9
252,1733,672517598,37746588,2024,9
253,1739,30487955,16060527,2024,9
254,1750,60909795,18191590,2024,9
255,1759,356494141,39353770,2024,9
256,1784,126297791,40453273,2024,9
257,1785,73467233,12667997,2024,9
258,1788,55575142,4000926,2024,9
259,1792,324871742,16388950,2024,9
260,1810,28925674,12939171,2024,9
261,1815,2556023553,307384278,2024,9
262,1817,32168733,7109697,2024,9
263,1821,46218946,2824224,2024,9
264,1827,22479285,6595821,2024,9
265,1829,901725193,132491798,2024,9
266,1830,388656761,31052779,2024,9
267,1838,5231682,2563286,2024,9
268,1845,1290651435,109019419,2024,9
269,1851,3622420,1559839,2024,9
270,1866,446249326,40607256,2024,9
271,1869,33354240,15533373,2024,9
272,1870,208748362,13004907,2024,9
273,1879,25565408,6030419,2024,9
274,1880,88680106,26071754,2024,9
275,1882,60743260,9951253,2024,9
276,1888,169263171,9376227,2024,9
277,1904,44978149,3907458,2024,9
278,1909,283276564,89864538,2024,9
279,1911,174877680,75356897,2024,9
280,1941,1839411280,94768468,2024,9
281,1961,475368328,48271334,2024,9
282,1969,67873269,3888780,2024,9
283,1982,385404182,48748054,2024,9
284,1987,13533758,9718811,2024,9
285,1992,236259,175652,2024,9
286,1999,9904163133,801255916,2024,9
287,2003,4073880,707025,2024,9
288,2008,55573155,5957182,2024,9
289,2021,15501361,8445870,2024,9
290,2024,556137528,49680107,2024,9
291,2046,12852522,2051192,2024,9
292,2049,47907587,22256199,2024,9
293,2051,69669018,8222450,2024,9
294,2056,8674658,4666108,2024,9
295,2065,7605877,1985284,2024,9
296,2068,29152445,8829787,2024,9
297,2098,164256,131783,2024,9
298,2099,6046199480,344023921,2024,9
299,2112,98125234,11091879,2024,9
300,2115,122994279,30727433,2024,9
301,2127,6302601,5057756,2024,9
302,2131,821490892,139238879,2024,9
303,2141,140020823,6393689,2024,9
304,2155,68296665,39408007,2024,9
305,2157,748964139,49260985,2024,9
306,2158,6390180,3667756,2024,9
307,2168,29489525,13031417,2024,9
308,2182,247021220,27181803,2024,9
309,2187,415316545,39598239,2024,9
310,2191,1695461842,222097424,2024,9
311,2208,5896635,334160,2024,9
312,2209,140808528,20858867,2024,9
313,2226,549013664,66474836,2024,9
314,2227,136308108,26642598,2024,9
315,2237,44231659,4439894,2024,9
316,2246,5712434,3046159,2024,9
317,2252,114678042,814549,2024,9
318,2260,19996999,2998262,2024,9
319,2263,39674380,8152281,2024,9
320,2275,7066182,1262587,2024,9
321,2280,19165466,9433447,2024,9
322,2285,2403360527,192595665,2024,9
323,2299,39711278,1564328,2024,9
324,2301,93279967,35981328,2024,9
325,2322,200918208,17974068,2024,9
326,2346,51717588,17816494,2024,9
327,2348,5334174,3987505,2024,9
328,2357,928613683,88055443,2024,9
329,2370,9470854,642948,2024,9
330,2374,24272146,4613630,2024,9
331,2384,127794898,28609943,2024,9
332,2394,18465219,282480,2024,9
333,2403,104101095,14663868,2024,9
334,2405,71353076,5190726,2024,9
335,2414,3908803,939110,2024,9
336,2440,488357839,24485377,2024,9
337,2441,1379783698,105511610,2024,9
338,2442,27747643,13686121,2024,9
339,2446,18957641,7867115,2024,9
340,2454,39096235,17570007,2024,9
341,2460,11232605,3810105,2024,9
342,2467,5068462,3317279,2024,9
343,2493,21458974,4197292,2024,9
344,2495,4734934,4072361,2024,9
345,2498,9279500,4859508,2024,9
346,2505,19372172,14166074,2024,9
347,2507,32897080,11212364,2024,9
348,2508,88928271,54164481,2024,9
349,2535,393549480,37707000,2024,9
350,2540,2353852826,226074222,2024,9
351,2551,9288570758,3078910513,2024,9
352,2554,32502532,8150555,2024,9
353,2562,131435140,23250022,2024,9
354,2574,81151585,5004657,2024,9
355,2577,51918681,16645100,2024,9
356,2583,3608133,118148,2024,9
357,2585,244937136,14228593,2024,9
358,2612,5199353,752477,2024,9
359,2617,7648061,6698639,2024,9
360,2625,81537990,24678577,2024,9
361,2641,3768886,2336857,2024,9
362,2643,65707697,28742720,2024,9
363,2644,252876083,60433500,2024,9
364,2645,325435956,55331237,2024,9
365,2657,51043360,16535227,2024,9
366,2658,1063820676,57324580,2024,9
367,2682,11683025,7085876,2024,9
368,2705,42978500,19279368,2024,9
369,2709,97892364,31296319,2024,9
370,2711,14761027,882182,2024,9
371,2713,97874302,9614092,2024,9
372,2730,371308042,16322255,2024,9
373,2740,253047736,15398078,2024,9
374,2742,259621411,36399817,2024,9
375,2744,203764220,6415130,2024,9
376,2760,4596442069,176034876,2024,9
377,2769,558521707,66183983,2024,9
378,2782,16579245,13720717,2024,9
379,2791,12302887,5200258,2024,9
380,2792,55455464,3385910,2024,9
381,2794,6215931,495767,2024,9
382,2796,7347705,3424455,2024,9
383,2800,9607861,7804943,2024,9
384,2806,1042435,726385,2024,9
385,2815,107344266,8882410,2024,9
386,2818,42228299,11999298,2024,9
387,2819,59444850,31420098,2024,9
388,2834,25896221,8478052,2024,9
389,2840,221454284,56113534,2024,9
390,2843,23064069,15191269,2024,9
