,CHARTER,CITY,WEBADDR,STNAME,NAME,ID
849,0,Vernon,,Texas,The First State Bank,11170
850,0,Waller,,Texas,The Guaranty Bond State Bank of Waller,11171
851,0,Sweetwater,,Texas,The Texas Bank & Trust Company,11173
852,0,Bandera,,Texas,"Norwest Bank Texas, Bandera",11174
853,0,Abernathy,www.fsbabernathy.net,Texas,The First State Bank,11175
854,0,Grand Prairie,,Texas,MBank Grand Prairie,11176
855,0,Pecos,www.transpecos.bank,Texas,"Transpecos Banks, SSB",11178
856,0,Arlington,www.csbarlington.com,South Dakota,"Citizens State Bank, of Arlington",1118
857,0,Tomball,,Texas,First RepublicBank Tomball,11180
858,0,Brownsboro,www.fsbbrownsboro.com,Texas,First State Bank of Brownsboro,11181
859,0,Giddings,,Texas,The Citizens State Bank,11182
860,0,Hedley,,Texas,Security State Bank,11183
861,0,Sabinal,,Texas,Sabinal Bank,11185
862,0,Loa,,Utah,State Bank of Wayne,11187
863,0,St. George,,Utah,Bank of St. George,11192
864,0,Lehi,,Utah,State Bank of Lehi,11193
865,0,Milford,,Utah,Milford State Bank,11194
866,0,Chatham,,Virginia,Fidelity American Bank,11196
867,0,Gloucester,,Virginia,United Virginia Bank of Gloucester,11198
868,0,Kadoka,,South Dakota,Badlands State Bank,1120
869,0,Richmond,,Virginia,Virginia Commonwealth Bank,11200
870,0,Wakefield,,Virginia,The Bank of Sussex and Surry,11201
871,0,Colonial Beach,,Virginia,First Virginia Bank - Northern Neck,11202
872,0,Onancock,,Virginia,Eastern Shore Citizens Bank,11205
873,0,Everett,,Washington,Olympic Bank,11206
874,0,Fairfield,,Washington,Bank of Fairfield,11207
875,0,Ione,,Washington,Ione State Bank,11208
876,0,Buffalo,,South Dakota,First State Bank,1121
877,0,Silverdale,,Washington,Silverdale State Bank,11216
878,0,Eldorado,,Wisconsin,First Wisconsin Bank of Eldorado,11219
879,0,Burke,www.ffb-sd.com,South Dakota,First Fidelity Bank,1122
880,0,Kimberly,,Wisconsin,Kimberly State Bank,11220
881,0,Nichols,,Wisconsin,Neighborhood State Bank,11221
882,0,Watertown,,Wisconsin,M&I Bank South Central,11222
883,0,Clyman,,Wisconsin,Farmers State Bank,11224
884,0,Milton,www.fcbmilton.com,Wisconsin,First Community Bank,11225
885,0,Silver Lake,,Wisconsin,First Bank Southeast of Silver Lake,11226
886,22632,Waupun,,Wisconsin,"Norwest Bank Wisconsin Waupun, National Association",11227
887,0,Whitewater,www.firstcitizensww.com,Wisconsin,First Citizens State Bank,11228
888,0,Wonewoc,,Wisconsin,State Bank of Wonewoc,11229
889,0,Faith,,South Dakota,Farmers State Bank,1123
890,0,Milton,www.bankofmilton.com,Wisconsin,Bank of Milton,11232
891,0,Cedarburg,,Wisconsin,First Wisconsin Bank of Cedarburg,11233
892,0,Bonduel,www.bonduelbank.com,Wisconsin,Bonduel State Bank,11235
893,0,Horicon,www.horiconbank.com,Wisconsin,Horicon Bank,11236
894,0,Menomonee Falls,,Wisconsin,Associated Bank Menomonee Falls,11237
895,0,Oregon,,Wisconsin,Valley Bank of Oregon,11238
896,0,Kansas City,,Kansas,The Twin-City State Bank,11239
897,0,Flandreau,,South Dakota,Farmers State Bank,1124
898,0,Conway,http://www.my100bank.com,Arkansas,Centennial Bank,11241
899,0,Mcgehee,www.mcgeheebank.com,Arkansas,McGehee Bank,11242
900,0,Salem,www.bksalem.net,Arkansas,Bank of Salem,11243
901,0,Rogers,,Arkansas,Southern Bancorp Bank of Trumann,11244
902,0,Brinkley,,Arkansas,Bank of Brinkley,11245
903,0,Springdale,,Arkansas,Springdale Bank & Trust,11249
904,0,Freeman,www.msb-sd.com,South Dakota,Merchants State Bank,1125
905,0,Walnut Ridge,,Arkansas,The Arkansas Bank,11251
906,21165,Calico Rock,www.fnbizardcounty.com,Arkansas,The First National Bank of Izard County,11252
907,18413,Camden,,Arkansas,"Merchants and Planters Bank, National Association",11253
908,0,Eudora,,Arkansas,The Eudora Bank,11254
909,0,Lincoln,,Arkansas,Bank of Lincoln,11255
910,0,Rogers,,Arkansas,Pinnacle Bank,11256
911,0,Jonesboro,,Arkansas,First Community Bank,11257
912,0,Gunnison,www.gunnisonbank.com,Colorado,The Gunnison Bank and Trust Company,11259
913,0,Huron,,South Dakota,Farmers and Merchants Bank,1126
914,0,Manzanola,,Colorado,"J. N. Beaty and Company, Bankers",11260
915,0,Mcclave,http://www.mcclavebank.com,Colorado,McClave State Bank,11261
916,14400,Steamboat Springs,,Colorado,"Norwest Bank Steamboat Springs, National Association",11262
917,21827,Sterling,,Colorado,"Norwest Bank Sterling, National Association",11263
918,0,Walsh,,Colorado,The Colorado State Bank of Walsh,11264
919,0,Madison,,South Dakota,Security Bank,1127
920,0,Bridgeport,,Connecticut,City Trust Company,11270
921,0,New Britain,,Connecticut,New Britain Bank and Trust Company,11271
922,0,Norwalk,,Connecticut,The Merchants Bank and Trust Company,11272
923,0,Laurel,,Delaware,The Sussex Trust Company,11276
924,0,Milford,,Delaware,Milford Trust Company,11277
925,0,Miller,,South Dakota,Hand County State Bank,1128
926,0,Wilmington,,Delaware,Delaware Trust Company,11281
927,0,Wilmington,,Delaware,Commercial Trust Company,11282
928,18140,Blountstown,,Florida,NCNB National Bank of Florida,11284
929,0,Lake Wales,,Florida,Atlantic Bank & Trust of Lake Wales,11285
930,0,Monticello,,Florida,Farmers & Merchants Bank,11286
931,0,Mulberry,,Florida,Flagship Bank of Mulberry,11287
932,0,Macclenny,,Florida,The Citizens Bank of Macclenny,11288
933,0,Mitchell,,South Dakota,Commercial Trust and Savings Bank,1129
934,0,Valparaiso,,Florida,Vanguard Bank & Trust Company,11290
935,0,Ashburn,,Georgia,First South Bank,11291
936,16567,Buchanan,,Georgia,First National Bank of Georgia,11292
937,0,Thomasville,,Georgia,Bank of Thomas County,11293
938,0,Haddock,,Georgia,Jones County Bank,11294
939,0,Swainsboro,www.cbs-lc.com,Georgia,The Citizens Bank of Swainsboro,11295
940,0,Toccoa,,Georgia,The Bank of Toccoa,11296
941,0,Woodbury,,Georgia,The Woodbury Banking Company,11297
942,0,Abingdon,,Illinois,Abingdon Bank and Trust Company,11298
943,0,Alto Pass,http://www.myfsb.com,Illinois,"Farmers State Bank of Alto Pass, Ill.",11299
944,0,Oakdale,,Illinois,Oakdale State Bank,11300
945,0,Quincy,,Illinois,Mercantile Bank,11301
946,0,Saint Peter,www.fsbstpeter.com,Illinois,First State Bank of St. Peter,11302
947,0,Union,,Illinois,Midwest Bank of Mc Henry County,11304
948,0,Vandalia,,Illinois,First Bank of Fayette County,11305
949,0,La Grange,www.fnbcbt.com,Illinois,FNBC Bank & Trust,11306
950,0,Pittsfield,www.farmersstate.com,Illinois,Farmers State Bank,11307
951,14521,Urbana,,Illinois,Busey First National Bank,11308
952,0,Herrin,WWW.BANKOFHERRIN.BANK,Illinois,The Bank of Herrin,11310
953,0,Cerro Gordo,,Illinois,State Bank of Cerro Gordo,11311
954,0,Cisne,,Illinois,Cisne State Bank,11313
955,0,Farina,,Illinois,State Bank of Farina,11315
956,0,Heyworth,,Illinois,First State Bank of Heyworth,11316
957,0,Salem,www.iukabank.com,Illinois,The Iuka State Bank,11317
958,0,Mount Pulaski,www.longviewcb.com,Illinois,Longview Community Bank,11319
959,0,Mount Morris,,Illinois,"AMCORE Bank, Ogle County",11321
960,0,Alton,,Illinois,Mercantile Bank of Illinois,11322
961,0,Ashley,,Illinois,Ashley State Bank,11323
962,0,Bushnell,www.bushnellbank.com,Illinois,Farmers and Merchants State Bank of Bushnell,11324
963,0,Champaign,,Illinois,"Bank One, Champaign-Urbana",11325
964,0,Gardner,,Illinois,Exchange Bank,11326
965,0,Ingraham,,Illinois,Ingraham State Bank,11328
966,0,Joy,,Illinois,Farmers-Merchants Bank of Illinois,11329
967,0,Winner,,South Dakota,Norwest State Bank,1133
968,0,Timewell,,Illinois,Timewell State Bank,11331
969,0,Alexis,,Illinois,The Bank of Alexis,11333
970,0,Corydon,,Indiana,Old Capital Bank and Trust Company,11334
971,0,Fort Wayne,,Indiana,Summit Bank,11335
972,0,Franklin,,Indiana,"Bank One, Franklin",11336
973,0,Louisville,,Kentucky,1st Independence Bank,11338
974,0,Woonsocket,,South Dakota,Sanborn County Bank,1134
975,0,Rockport,,Indiana,Farmers State Bank,11340
976,0,Petersburg,,Indiana,Citizens State Bank,11341
977,0,Ashton,http://www.ashtonstatebank.com,Iowa,Ashton State Bank,11343
978,0,Clinton,,Iowa,Marquette Bank Clinton,11345
979,0,Farley,,Iowa,Farley State Bank,11346
980,0,Grinnell,www.grinnell.bank,Iowa,Grinnell State Bank,11347
981,0,Keosauqua,,Iowa,First Iowa State Bank,11348
982,0,Knoxville,,Iowa,Iowa State Savings Bank,11349
983,0,Bloomer,,Wisconsin,Peoples State Bank of Bloomer,1135
984,23640,Cedar Falls,,Iowa,The First National Bank of Cedar Falls,11350
985,0,Riverside,,Iowa,Peoples Trust and Savings Bank,11351
986,0,Sanborn,www.sanbornbank.com,Iowa,Sanborn Savings Bank,11352
987,0,Oskaloosa,,Iowa,Bank Iowa,11354
988,0,Bedford,www.bedfordbank.com,Kentucky,Bedford Loan & Deposit Bank,11355
989,0,Cloverport,,Kentucky,Breckinridge Bank,11357
990,0,Somerset,http://www.csbweb.com,Kentucky,"Cumberland Security Bank, Inc.",11358
991,14801,Boyceville,,Wisconsin,Red Cedar Bank National Association,1136
992,0,Pleasureville,,Kentucky,"Deposit Bank & Trust Company, Pleasureville, Kentucky",11360
993,0,Cynthiana,,Kentucky,The Harrison Deposit Bank and Trust Company,11361
994,0,La Grange,,Kentucky,Citizens Fidelity Bank and Trust Company Oldham County,11363
995,0,Vine Grove,,Kentucky,Farmers Bank of Vine Grove,11364
996,21671,Bowling Green,,Kentucky,"Bowling Green Bank & Trust Company, National Association",11365
997,0,Caribou,,Maine,Aroostook Trust Company,11369
998,15696,Glenwood City,,Wisconsin,First National Bank of Glenwood,1137
999,0,Portland,,Maine,Casco Bank & Trust Company,11372
1000,0,Salisbury,,Maryland,Maryland State Bank,11374
1001,0,Greensboro,,Maryland,The Caroline County Bank,11378
1002,22022,Delta,,Colorado,Affiliated National Bank - Delta,1138
1003,0,Millington,,Maryland,The Millington Bank of Maryland,11380
1004,0,Sudlersville,,Maryland,The Sudlersville Bank of Maryland,11381
1005,0,Sharpsburg,,Maryland,The Sharpsburg Bank of Washington County,11383
1006,0,Clinton,,Michigan,State Savings Bank of Clinton,11385
1007,0,Gladwin,,Michigan,First of America Bank-Mid-Michigan,11388
1008,21860,Denver,,Colorado,"Central Bank, National Association",1139
1009,0,Stephenson,,Michigan,Bank of Stephenson,11392
1010,0,Benton Harbor,,Michigan,Chemical Bank Shoreline,11394
1011,0,Newaygo,,Michigan,The First State Bank of Newaygo,11397
1012,0,Chesaning,,Michigan,Chesaning State Bank,11398
1013,0,Boyne City,,Michigan,FMB-Northwestern Bank,11399
1014,0,Santa Monica,,California,Santa Monica Bank,114
1015,0,Howard City,,Michigan,Western State Bank,11400
1016,0,Ishpeming,,Michigan,The Peninsula Bank of Ishpeming,11401
1017,0,Standish,,Michigan,Chemical Bank Huron,11403
1018,0,Bangor,,Michigan,The West Michigan Savings Bank,11404
1019,0,Byron Center,,Michigan,Byron Bank,11405
1020,0,Fenton,www.thestatebank.com,Michigan,The State Bank,11406
1021,0,Hastings,WWW.HIGHPOINTCOMMUNITYBANK.COM,Michigan,Highpoint Community Bank,11407
1022,0,Hawley,www.valleypremierbank.com,Minnesota,Valley Premier Bank,11409
1023,0,La Junta,wwww.colobank.com,Colorado,The Colorado Bank and Trust Company of La Junta,1141
1024,0,Rushford,www.rushfordstatebank.com,Minnesota,Rushford State Bank (Incorporated),11411
1025,22882,Pelican Rapids,,Minnesota,Northern National Bank,11412
1026,0,Kimball,www.harvestbankmn.com,Minnesota,Harvest Bank,11415
1027,0,Spring Grove,,Minnesota,Jennings State Bank,11416
1028,0,Welcome,www.welcomestatebank.com,Minnesota,Welcome State Bank,11417
1029,0,Mount Olive,,Mississippi,Mount Olive Bank,11419
1030,0,Abilene,,Kansas,Citizens Bank and Trust Company,1142
1031,0,Poplarville,,Mississippi,Bank of Commerce of Poplarville,11420
1032,0,Purvis,,Mississippi,The Lamar Bank,11421
1033,0,Senatobia,,Mississippi,Peoples Bank,11422
1034,0,Senatobia,,Mississippi,Sycamore Bank,11423
1035,0,New Augusta,,Mississippi,Perry County Bank,11424
1036,0,Oakland,,Mississippi,Bank of North Mississippi,11426
1037,0,Picayune,,Mississippi,Bank of Picayune,11427
1038,0,Raleigh,,Mississippi,The Bank of Raleigh,11428
1039,0,Sardis,,Mississippi,Panola County Bank,11429
1040,0,Overland Park,,Kansas,Bank of Blue Valley,1143
1041,0,Yazoo City,http://www.bankofyazoo.com,Mississippi,Bank of Yazoo City,11431
1042,0,Byhalia,,Mississippi,Citizens Bank,11432
1043,0,Coldwater,,Mississippi,Citizens Bank,11433
1044,0,Inverness,,Mississippi,The Bank of Inverness,11437
1045,0,Amory,,Mississippi,"Community Bank, North Mississippi",11438
1046,0,Como,,Mississippi,New South Bank,11442
1047,0,Corinth,,Mississippi,The Security Bank,11443
1048,0,Ellisville,,Mississippi,Community Bank,11444
1049,0,Greenville,www.thejeffersonbank.com,Mississippi,The Jefferson Bank,11445
1050,0,Holly Springs,unityms.bank,Mississippi,Unity Bank of Mississippi,11446
1051,0,Houston,,Mississippi,Houston State Bank,11447
1052,0,Lucedale,centurybank.net,Mississippi,Century Bank,11448
1053,0,Macon,,Mississippi,Bank of Macon,11449
1054,0,Liberal,,Kansas,"The Citizens State Bank, Liberal, Kansas",1145
1055,0,Mercer,,Missouri,The Peoples Bank of Mercer,11451
1056,0,O'Fallon,,Missouri,Boatmen's Bank of O'Fallon,11452
1057,0,Springfield,,Missouri,Mercantile Bank of South Central Missouri,11454
1058,0,Boonville,,Missouri,Central Missouri State Bank,11455
1059,0,Albany,,Missouri,Gentry County Bank,11456
1060,0,Lawson,,Missouri,Lawson Bank,11457
1061,0,Jefferson City,http://www.midambk.com,Missouri,Mid America Bank,11459
1062,0,Osage City,,Kansas,Citizens State Bank,1146
1063,0,Van Buren,,Missouri,First Midwest Bank of Carter County,11460
1064,0,Walker,,Missouri,Farmers Bank of Walker,11461
1065,0,Maysville,www.farmbank.net,Missouri,Independent Farmers Bank,11462
1066,0,Cole Camp,www.citizensfarmersbank.com,Missouri,The Citizens-Farmers Bank of Cole Camp,11463
1067,0,Bolivar,,Missouri,Southwest Bank,11464
1068,0,Glasgow,www.tricountytrust.com,Missouri,Tri-County Trust Company,11465
1069,0,Mansfield,www.homepridebank.com,Missouri,HomePride Bank,11466
1070,0,Marshall,,Missouri,Boatmen's Bank of Marshall,11467
1071,0,Grafton,,Nebraska,Grafton State Bank,11468
1072,0,Guide Rock,,Nebraska,The Guide Rock State Bank,11469
1073,0,Pratt,www.tpb.bank,Kansas,The Peoples Bank,1147
1074,0,Stamford,,Nebraska,Stamford Bank,11470
1075,0,Brainard,,Nebraska,First Nebraska Bank,11472
1076,0,Hebron,http://www.thayercountybank.com,Nebraska,Thayer County Bank,11475
1077,0,Auburn,www.auburnstatebank.com,Nebraska,Auburn State Bank,11477
1078,0,Dalton,,Nebraska,Dalton State Bank,11478
1079,0,Lisco,,Nebraska,Lisco State Bank,11479
1080,0,Sedan,,Kansas,"The Sedan State Bank, Sedan, Kansas",1148
1081,0,Gordon,,Nebraska,The Abbott Bank,11480
1082,0,Wolbach,,Nebraska,Peoples State Bank,11481
1083,0,Cozad,www.homestead.bank,Nebraska,Homestead Bank,11482
1084,0,Nehawka,,Nebraska,The Nehawka Bank,11483
1085,0,Tecumseh,,Nebraska,Johnson County Bank,11484
1086,0,Berlin,,New Hampshire,North Country Bank,11485
1087,0,Nashua,,New Hampshire,Nashua Trust Company,11486
1088,0,Alamogordo,,New Mexico,United New Mexico Bank at Alamogordo,11488
1089,23691,Las Cruces,,New Mexico,Community First National Bank,11489
1090,0,Leawood,,Kansas,Alterra Bank,1149
1091,0,Vaughn,,New Mexico,United New Mexico Bank at Vaughn,11490
1092,0,Clovis,www.cbcnm.bank,New Mexico,The Citizens Bank of Clovis,11491
1093,0,Raton,www.inbank.com,New Mexico,InBank,11492
1094,0,Seneca Falls,,New York,"The State Bank of Seneca Falls, N.Y.",11496
1095,0,Topeka,www.fidelitytopeka.com,Kansas,Fidelity State Bank and Trust Company,1150
1096,14680,Scotia,http://www.firstscotia.com,New York,First National Bank of Scotia,11501
1097,0,Belmont,,North Carolina,The Bank of Belmont,11503
1098,0,Charlotte,,North Carolina,Bank of Charlotte,11504
1099,0,Four Oaks,,North Carolina,Four Oaks Bank & Trust Company,11506
1100,0,Fuquay Varina,www.fidelitybanknc.com,North Carolina,The Fidelity Bank,11507
1101,0,Henderson,,North Carolina,Citizens Bank and Trust Co.,11508
1102,0,Eden,,North Carolina,Carolina Bank of Commerce,11509
1103,0,Winfield,,Kansas,The State Bank,1151
1104,0,Pilot Mountain,,North Carolina,Bank of Pilot Mountain,11510
1105,0,Statesville,,North Carolina,Bank of Statesville,11511
1106,0,Elgin,,North Dakota,Farmers State Bank,11514
1107,0,Casselton,,North Dakota,The First State Bank of Casselton,11517
1108,0,Dunseith,,North Dakota,Security State Bank,11518
1109,0,New Salem,www.securityfirstbank.bank,North Dakota,Security First Bank of North Dakota,11519
1110,0,Carthage,,Missouri,Boatmen's Bank of Southwest Missouri,1152
1111,0,Oklahoma City,www.ccb.bank,Oklahoma,Chickasaw Community Bank,11521
1112,23516,Lawton,www.WeAreLiberty.bank,Oklahoma,Liberty National Bank,11522
1113,0,Mannford,,Oklahoma,Heritage Bank,11523
1114,0,Mcloud,,Oklahoma,The Bank of Commerce,11524
1115,0,Kremlin,www.cowboy.bank,Oklahoma,Cowboy Bank,11526
1116,0,Pond Creek,http://www.fsbpondcreek.com,Oklahoma,"The First State Bank of Pond Creek, Oklahoma",11527
1117,0,Portland,,Oregon,The Oregon Bank,11529
1118,0,Craig,,Missouri,Bank of Craig,1153
1119,14425,Columbia,,South Carolina,"NationsBank of South Carolina, National Association",11535
1120,22969,Latta,,South Carolina,"Carolina Community Bank, National Association",11537
1121,0,Mccormick,,South Carolina,The Dorn Banking Company,11538
1122,0,Ehrhardt,https://ebsc.bank,South Carolina,Enterprise Bank of South Carolina,11539
1123,15985,Kansas City,,Missouri,"Commerce Bank, National Association",1154
1124,0,Winnsboro,,South Carolina,Merchants & Planters Bank,11540
1125,0,Columbia,,South Carolina,Bankers Trust of South Carolina,11541
1126,0,Orangeburg,,South Carolina,American Bank & Trust,11543
1127,0,Williston,,South Carolina,Bank of Williston,11545
1128,0,Angleton,,Texas,Angleton Bank of Commerce,11546
1129,0,Carrizo Springs,,Texas,Citizens State Bank,11548
1130,0,Caldwell,,Texas,First State Bank,11549
1131,0,Kansas City,,Missouri,The Merchants Bank,1155
1132,0,D Hanis,,Texas,D'Hanis State Bank,11550
1133,0,Hubbard,,Texas,"First State Bank, Hubbard, Texas",11551
1134,0,Anahuac,,Texas,Security State Bank,11552
1135,0,Archer City,,Texas,First State Bank in Archer City,11555
1136,0,Bellville,,Texas,Austin County State Bank,11556
1137,0,Burnet,http://https://www.fsbburnet.com,Texas,First State Bank of Burnet,11557
1138,0,Brenham,,Texas,Washington County State Bank,11558
1139,0,Carthage,www.fsbcarthage.com,Texas,First State Bank and Trust Company,11559
1140,0,Denton,,Texas,Northstar Bank,11561
1141,0,Rockdale,,Texas,NBC Bank - Rockdale,11567
1142,0,Sanderson,,Texas,Sanderson State Bank,11568
1143,0,Sulphur Springs,www.alliancebank.com,Texas,Alliance Bank,11569
1144,0,Houston,www.globalonebank.com,Texas,Global One Bank,11570
1145,14539,Rule,,Texas,"The Farmers National Bank of Rule, Texas",11572
1146,0,Stephenville,,Texas,Stephenville Bank and Trust Co.,11573
1147,0,Weimar,,Texas,First State Bank,11576
1148,0,Seguin,,Texas,American Bank of Texas - Seguin,11577
1149,0,Alexandria,www.burkeandherbertbank.com,Virginia,Burke & Herbert Bank & Trust Company,11578
1150,0,Bowling Green,,Virginia,Union Bank and Trust Company,11579
1151,0,Carson,www.bsvnet.com,Virginia,The Bank of Southside Virginia,11580
1152,0,Pennington Gap,www.leebank24.com,Virginia,Lee Bank and Trust Company,11582
1153,0,Richmond,,Virginia,Consolidated Bank and Trust Company,11583
1154,0,Tappahannock,,Virginia,EVB,11584
1155,0,Roanoke,,Virginia,Bank of Virginia-Southwest,11585
1156,0,Richmond,,Virginia,Signet Bank,11589
1157,0,Bancroft,,Nebraska,Citizens Bank,1159
1158,0,Richmond,,Virginia,Southern Bank,11591
1159,0,Urbanna,,Virginia,First Virginia Bank - Middle Peninsula,11592
1160,0,Salem,,Virginia,The Bank of Virginia of the Southwest,11593
1161,0,Antigo,,Wisconsin,"Bank One, Antigo",11594
1162,0,Boscobel,www.cfbank.com,Wisconsin,Community First Bank,11595
1163,0,Fort Atkinson,,Wisconsin,The Bank of Fort Atkinson,11597
1164,22117,Libertyville,,Illinois,American National Bank and Trust,11598
1165,0,Glenbeulah,,Wisconsin,The Glenbeulah State Bank,11599
1166,23581,La Crescent,,Minnesota,First National Bank,11600
1167,0,Laona,WWW.LAONASTATEBANK.COM,Wisconsin,Laona State Bank,11601
1168,0,Portage,,Wisconsin,Firstar Bank Portage,11602
1169,0,Poynette,,Wisconsin,United Community Bank,11603
1170,0,Pulaski,,Wisconsin,F & M Bank-Pulaski,11604
1171,0,Brillion,,Wisconsin,Calumet County Bank,11607
1172,0,Little Chute,www.blccb.com,Wisconsin,BLC Community Bank,11608
1173,0,Monticello,,Wisconsin,Bank of Monticello,11609
1174,0,Brownsville,,Wisconsin,Valley Bank of Brownsville,11611
1175,0,Superior,,Wisconsin,Wisconsin State Bank,11612
1176,0,Dodgeville,,Wisconsin,Strong's Bank,11613
1177,0,Cecil,,Wisconsin,Farmers State Bank,11614
1178,0,Iron Ridge,,Wisconsin,Commercial State Bank,11615
1179,0,Waunakee,,Wisconsin,First Wisconsin Bank of Waunakee,11617
1180,0,Embarrass,,Wisconsin,Embarrass State Bank,11618
1181,23701,Manitowoc,,Wisconsin,"Associated Bank Lakeshore, National Association",11619
1182,0,Stromsburg,,Nebraska,Stromsburg Bank,1162
1183,0,Oconto,,Wisconsin,American Bank of Wisconsin,11621
1184,0,Beloit,,Wisconsin,Heritage Bank Beloit,11622
1185,0,Lake Mills,www.greenwoods.bank,Wisconsin,The Greenwood's State Bank,11623
1186,0,Drummond,,Wisconsin,State Bank of Drummond,11625
1187,13885,Oak Hill,,West Virginia,Merchants & Miners National Bank of Oak Hill,11626
1188,13886,Savanna,,Illinois,First Illinois National Bank,11627
1189,13892,Neoga,,Illinois,Cumberland County National Bank in Neoga,11628
1190,0,Wahoo,www.wahoostatebank.com,Nebraska,Wahoo State Bank,1163
1191,13888,Wabash,,Indiana,"Norwest Bank Wabash, National Association",11630
1192,13890,Rockwell City,,Iowa,The National Bank of Rockwell City,11633
1193,0,Sumner,,Iowa,First State Bank,11634
1194,13891,Blackwell,,Oklahoma,Home National Bank,11636
1195,13893,Englewood Cliffs,,New Jersey,United Jersey Bank/Edgewater National,11637
1196,11114,Blanchardville,,Wisconsin,The First National Bank of Blanchardville,11639
1197,0,Farmington,www.cbnm.com,New Mexico,The Citizens Bank,1164
1198,2049,Knoxville,,Tennessee,Park National Bank of Knoxville,11640
1199,0,Phoenix,,Arizona,Citibank (Arizona),11642
1200,0,Willits,,California,Bank of Willits,11647
1201,0,Okarche,http://www.firstbankokarche.com,Oklahoma,The First Bank of Okarche,1165
1202,0,Selbyville,,Delaware,Mercantile Peninsula Bank,11652
1203,17629,Wilmington,,Delaware,"Mellon Bank Delaware, National Association",11653
1204,15541,Atlanta,,Georgia,"First American Bank of Georgia, National Association (In Liquidation)",11654
1205,0,Savannah,,Georgia,First Bank of Savannah,11657
1206,0,Austell,,Georgia,The Citizens and Southern Bank of Cobb County,11659
1207,0,Evanston,,Wyoming,"Key Bank of Wyoming - 849 Front Street, Evanston, Wyoming 82930",1166
1208,0,Chatsworth,,Georgia,Cohutta Banking Company,11660
1209,0,Downey,,Idaho,Downey State Bank,11663
1210,0,Glenns Ferry,,Idaho,Idaho State Bank,11664
1211,0,Lava Hot Springs,,Idaho,Lava Hot Springs State Bank,11665
1212,0,Burley,dlevans.com,Idaho,D. L. Evans Bank,11666
1213,0,Piper City,www.vermilionvalleybank.com,Illinois,Vermilion Valley Bank,11667
1214,0,Forrest,http://wwwfsbforrest.com,Illinois,First State Bank of Forrest,11669
1215,0,Mountain View,www.uintabank.com,Wyoming,Uinta Bank,1167
1216,0,Geneseo,www.central-bank.com,Illinois,Central Bank Illinois,11670
1217,0,Herscher,www.sbherscher.com,Illinois,State Bank of Herscher,11671
1218,0,Johnston City,,Illinois,First Bank,11672
1219,0,Keyesport,,Illinois,State Bank of Keyesport,11673
1220,0,New Berlin,www.wbsb.com,Illinois,Warren-Boynton State Bank,11674
1221,0,Newman,,Illinois,First State Bank of Newman,11675
1222,24634,Chicago,,Illinois,Park National Bank,11677
1223,0,Taylorville,,Illinois,First Trust and Savings Bank of Taylorville,11679
1224,0,Newcastle,,Wyoming,First State Bank of Newcastle,1168
1225,0,Alpha,http://www.fsbwil.com,Illinois,Farmers State Bank of Western Illinois,11680
1226,0,Anchor,anchorstatebank.com,Illinois,Anchor State Bank,11681
1227,0,Anna,https://www.annastate.com,Illinois,Anna State Bank,11682
1228,0,Bartelso,,Illinois,BARTELSO SAVINGS BANK,11683
1229,0,Carmi,,Illinois,White County Bank,11684
1230,0,Carthage,,Illinois,Marine Bank and Trust,11685
1231,0,Cherry,www.statebankofcherry.com,Illinois,State Bank of Cherry,11686
1232,0,Lansing,,Illinois,Advance Bank,11687
1233,0,Dupo,,Illinois,Dupo State Savings Bank,11688
1234,0,Sundance,www.sundancestate.bank,Wyoming,Sundance State Bank,1169
1235,0,Atkinson,,Illinois,Atkinson Trust & Savings Bank,11692
1236,0,Cairo,,Illinois,First Bank and Trust Company,11693
1237,0,Chicago,,Illinois,ABC Bank,11694
1238,0,Augusta,,Illinois,State Bank of Augusta,11696
1239,0,Goodfield,www.goodfieldstatebank.com,Illinois,Goodfield State Bank,11699
1240,15565,Wheatland,,Wyoming,"Norwest Bank Wyoming Wheatland, National Association",1170
1241,0,Little York,,Illinois,The First State Bank of Little York,11700
1242,0,Quincy,,Illinois,Boatmen's Bank of Quincy,11701
1243,0,Shelbyville,www.scs-bank.com,Illinois,Shelby County State Bank,11702
1244,0,Freeport,,Illinois,State Bank of Freeport,11703
1245,0,Red Bud,,Illinois,First State Bank of Red Bud,11704
1246,0,Sterling,,Illinois,Freedom Bank,11705
1247,0,Sherrard,http://www.1stcommunitybanks.com,Illinois,1st Community Bank,11706
1248,0,Teutopolis,www.teutopolisstatebank.com,Illinois,Teutopolis State Bank,11708
1249,0,Wheatland,,Wyoming,"Key Bank of Wyoming - 611 Ninth Street, Wheatland, Wyoming 82201",1171
1250,0,Winchester,,Illinois,"The First State Bank of Winchester, Illinois",11710
1251,0,Rantoul,https://www.bankofrantoul.bank,Illinois,Bank of Rantoul,11711
1252,0,Yates City,http://www.bankofyatescity.com,Illinois,Bank of Yates City,11715
1253,0,Hartsburg,,Illinois,Hartsburg State Bank,11716
1254,0,Highland,,Illinois,Magna State Bank,11717
1255,0,Lexington,,Illinois,Lexington Bank,11718
1256,0,Liberty,www.liberty.bank,Illinois,LIBERTY BANK,11719
1257,14841,Worland,,Wyoming,First National Bank,1172
1258,0,Mascoutah,,Illinois,Landmark Bank of Mascoutah,11720
1259,0,Mount Sterling,,Illinois,Brown County State Bank,11721
1260,0,Newton,www.psbnewton.com,Illinois,"The Peoples State Bank of Newton, Illinois",11722
