,CHARTER,CITY,WEBADDR,STNAME,NAME,ID
95,0,Durant,www.mylibertytrust.com,Iowa,Liberty Trust & Savings Bank,10121
96,0,Traer,http://www.fsb-traer.com,Iowa,Farmers Savings Bank & Trust,10122
97,0,Coralville,www.ft-sb.com,Iowa,First Trust and Savings Bank,10123
98,0,Bellevue,,Iowa,Andrew Savings Bank,10124
99,0,Anamosa,www.citizensbankia.com,Iowa,Citizens Savings Bank,10125
100,0,Bennett,,Iowa,Bennett State Bank,10126
101,0,Bloomfield,www.success.bank,Iowa,Success Bank,10127
102,0,Wesley,,Iowa,Exchange State Bank,10129
103,0,South Haven,,Michigan,Citizens Trust and Savings Bank,1013
104,0,Humboldt,,Iowa,Bank Iowa,10130
105,0,Washington,,Iowa,West Chester Savings Bank,10131
106,0,Ames,www.esb1.com,Iowa,Exchange State Bank,10132
107,20442,Keokuk,,Iowa,"Norwest Bank Keokuk, National Association",10133
108,0,Cadiz,,Kentucky,Trigg County Farmers Bank,10135
109,0,Georgetown,,Kentucky,"The Farmers Bank and Trust Company of Georgetown, Kentucky",10136
110,0,Grayson,cbgrayson.com,Kentucky,The Commercial Bank of Grayson,10137
111,0,Madisonville,,Kentucky,Citizens Bank of Kentucky,10139
112,0,Sparta,www.choiceone.bank,Michigan,ChoiceOne Bank,1014
113,21476,Florence,,Kentucky,Huntington National Bank of Boone County,10141
114,0,Kevil,,Kentucky,The Kevil Bank,10142
115,14840,Lexington,,Kentucky,"Bank One, Lexington, National Association",10143
116,0,Millersburg,,Kentucky,Farmers Exchange Bank,10144
117,0,Munfordville,,Kentucky,Hart County Bank and Trust Company,10145
118,0,Louisville,,Kentucky,Commonwealth Bank and Trust Company,10146
119,0,Springport,,Michigan,Springport State Savings Bank,10150
120,15575,Grand Rapids,,Michigan,"NBD Grand Rapids, National Association",10153
121,0,White Cloud,,Michigan,"The First State Bank, White Cloud, Michigan",10155
122,0,Shelby,www.shelbybank.com,Michigan,The Shelby State Bank,10157
123,0,Bayport,https://www.fsbt.com,Minnesota,First State Bank and Trust,10159
124,0,Traverse City,,Michigan,Old Kent Bank-Grand Traverse,1016
125,23457,Holdingford,www.versabankusa.com,Minnesota,VersaBank USA National Association,10160
126,23193,Isanti,,Minnesota,"Landmark Community Bank, National Association",10161
127,0,Le Roy,www.fsbminnesota.com,Minnesota,First State Bank Minnesota,10162
128,0,Marine On St. Croix,www.themarinebank.com,Minnesota,Security State Bank of Marine,10163
129,0,Long Prairie,,Minnesota,Lake Country State Bank,10164
130,0,Pierz,www.fmpierz.com,Minnesota,Farmers and Merchants State Bank of Pierz,10165
131,0,Prior Lake,,Minnesota,Prior Lake State Bank,10166
132,0,Roseau,www.citizensros.com,Minnesota,Citizens State Bank of Roseau,10167
